root;delayedInnodbLogFlush;delayedInnodbLogWrite;innodbFlushMethod;fsyncFlush;dsyncFlush;directFlush;binaryLog;innodbDoubleWrite;tempTableSize_256;tempTableSize_4096;tempTableSize_65536;tempTableSize;innodbBufferPoolSize_8;innodbBufferPoolSize_64;innodbBufferPoolSize_512;innodbBufferPoolSize;innodbLogBufferSize_1;innodbLogBufferSize_8;innodbLogBufferSize_64;innodbLogBufferSize;revision;performance;cpu
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;5.6.10;130.41836;1.813414
1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;5.6.10;132.8982;1.525813
1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;5.6.10;135.45922;1.203703
1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;5.6.10;124.76948;1.737042
1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;5.6.10;126.9179;1.350273
1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;5.6.10;123.44402;1.513028
1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;5.6.10;123.067;1.118951
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;5.6.10;120.1851;1.549656
1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;5.6.10;128.03268;1.279483
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;5.6.10;137.80188;1.787831
1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;5.6.10;131.33568;2.050409
1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;5.6.10;132.86478;1.635565
1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;5.6.10;114.92676;1.723023
1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;5.6.10;124.31796;2.115845
1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;5.6.10;121.98236;1.407692
1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;5.6.10;118.13064;1.624058
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;5.6.10;116.6929;1.560665
1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;5.6.10;125.67848;1.932952
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1;5.6.10;129.95022;1.802643
1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;5.6.10;128.75632;1.690544
1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;5.6.10;130.65492;1.960101
1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;5.6.10;129.61384;1.619052
1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;5.6.10;118.8905;1.937798
1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;5.6.10;119.77146;0.985827
1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;5.6.10;119.23932;1.63039
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;5.6.10;121.79114;1.638884
1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;5.6.10;125.63584;1.759387
1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;5.6.10;134.84704;1.631976
1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;5.6.10;138.31256;1.8368
1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;5.6.10;136.31378;1.725225
1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;5.6.10;113.04088;1.643469
1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;5.6.10;118.83874;1.872426
1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;5.6.10;127.52384;1.295268
1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;5.6.10;119.96192;1.873761
1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;5.6.10;120.55112;2.038591
1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;5.6.10;122.2934;1.427199
1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;5.6.10;130.07662;1.37857
1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;5.6.10;136.21228;1.251505
1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;5.6.10;131.87256;2.070942
1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;5.6.10;127.75292;1.492398
1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5.6.10;122.2095;1.662395
1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;5.6.10;123.29138;1.455357
1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;5.6.10;122.89566;1.571566
1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;5.6.10;117.84334;1.844063
1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;5.6.10;122.01246;1.430251
1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;5.6.10;134.65006;1.377827
1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;5.6.10;135.5474;1.68551
1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;1;1;5.6.10;134.46088;1.173409
1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;1;5.6.10;118.67198;1.393284
1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;5.6.10;112.8131;1.892315
1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;5.6.10;120.46252;1.413215
1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;5.6.10;123.53334;1.601047
1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;5.6.10;121.88038;1.455479
1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;5.6.10;121.58982;1.212261
1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;5.6.10;135.37842;1.194165
1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;5.6.10;139.4789;1.249211
1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;5.6.10;137.38198;1.245899
1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;5.6.10;118.64464;1.697124
1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;5.6.10;122.79496;1.731734
1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;5.6.10;121.63828;1.77964
1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;5.6.10;117.93874;1.626382
1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;5.6.10;123.71166;1.763532
1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;5.6.10;123.36482;1.680716
1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;5.6.10;135.69862;1.42609
1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;5.6.10;133.4818;2.007768
1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;5.6.10;134.25602;2.140759
