root;tcp;compression;none;lzo;cipher;AES_256_CBC;AES_128_CBC;TCP_NODEAL;prng;prng_none;prng_rsa_sha512;prng_sha512;prng_sha1;auth;auth_none;auth_sha1;auth_sha512;auth_rsa_sha512;reneg_bytes_10;reneg_bytes_30;reneg_bytes_50;reneg_bytes_70;reneg_bytes;performance;revision
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;452.316924;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;453.010094;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;468.462778;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;466.850721;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;456.227932;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;462.043198;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;465.329776;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;465.849977;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;502.427416;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;1;512.464051;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;1;505.724655;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;519.399657;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;571.576621;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;578.254103;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;589.716149;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;576.686636;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;451.131508;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;451.71455;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;458.832966;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;463.607302;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;453.841675;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;455.561843;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;458.572246;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;456.685358;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;488.659069;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;499.708884;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;503.988089;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;498.453698;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;550.983195;2.1.0
