root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers_64;sharedBuffers_128;sharedBuffers_256;sharedBuffers;tempBuffers_2;tempBuffers_8;tempBuffers_32;tempBuffers;workMem_256;workMem_1024;workMem_4096;workMem;revision;performance;cpu
1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;57447.4;2.802668
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;55448.8;2.857551
1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;56496.6;2.803929
1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56343;2.801221
1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;55667.6;2.766703
1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;55937;2.858862
1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56954;2.861585
1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;55776.8;2.774552
1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;57395.2;2.780006
1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;57367.4;2.794905
1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56555.4;2.770759
1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;55657;2.811569
1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;57029.8;2.763366
1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;56160;2.988818
1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;55927.4;2.829804
1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;58287.6;2.727111
1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;58590.6;2.678221
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;55122.2;2.779472
1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;56773.4;2.819709
1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;56480;2.831519
1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;57063;2.845512
1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;56189;2.816167
1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;56174.4;2.833103
1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;56468.6;2.826998
1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56646.8;2.832319
1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;55593.6;2.877868
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;55957.4;2.819343
1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;56419.2;2.801678
1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;55466.2;2.859024
1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;55650.6;2.912264
1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56596.8;2.852466
1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;56910.4;2.869909
1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;55903.6;2.843052
1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56074.2;2.793191
1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;56938.4;2.758506
1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;56434.6;2.79947
1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;56480.6;2.837476
1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56432.2;2.798975
1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;56321.8;2.785034
1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;56523.6;2.833813
1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;56407.6;2.885577
1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;56163.4;2.791011
1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;56487.4;2.861005
1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;55956.6;3.001185
1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;56413.2;2.792847
1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;56349.4;2.822894
1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;56780.8;2.847649
1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;56040.6;3.067883
1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;56443.6;2.79775
1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;55827.2;2.884466
1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;55953.2;2.90522
1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56116.8;2.828714
1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;56959.2;2.831323
1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;56873.8;2.806
1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;56547.4;2.845326
1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;57159.4;2.826608
1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;57232.2;2.815108
1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56682.8;2.883231
1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;57218;2.809172
1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;57420.2;2.796239
1;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56965.8;3.003786
1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;58813.4;2.843693
1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;57078.2;2.888463
1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;57616.2;2.84521
1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56926.6;2.858631
1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;57282.2;2.764938
1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;58183.2;2.823746
1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;56783.4;2.949481
