root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;columnTiling;rowTiling;threads_1;threads_2;threads_4;threads_8;threads;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;cpu
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;0.0087;0;0.003208
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;0.001655;0;0.001845
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;v1.3.0;0.003218;0;0.005545
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;v1.3.0;0.004998;0;0.017028
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;0.001536;0;0.053576
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;0.004296;0;0.006824
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;v1.3.0;0.004297;0;0.016908
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;v1.3.0;0.003171;0;0.00895
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;0.003077;0;0.004249
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;0.003443;0;0.012137
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;v1.3.0;0.002544;0;0.026822
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;v1.3.0;0.002955;0;0.013492
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;0.002172;0;0.007787
