root;WindowSize;CompressionLevel;performance;energy;memory;size;revision
1;10;0;0.015411;0.408972;0.018681;0.000000;0.3.0
1;11;0;0.010647;0.224069;0.033757;0.000000;0.3.0
1;12;0;0.011260;0.085801;0.027517;0.000000;0.3.0
1;13;0;0.009885;0.120372;0.030584;0.000000;0.3.0
1;14;0;0.016861;0.037534;0.023736;0.000000;0.3.0
1;15;0;0.013423;0.099751;0.013116;0.000000;0.3.0
1;16;0;0.008894;0.131295;0.039378;0.000000;0.3.0
1;17;0;0.009319;0.033026;0.028450;0.000000;0.3.0
1;18;0;0.007163;0.102706;0.027256;0.000000;0.3.0
1;19;0;0.007435;0.029037;0.032234;0.000000;0.3.0
1;20;0;0.005487;0.195598;0.010871;0.000000;0.3.0
1;21;0;0.009331;0.085239;0.015423;0.000000;0.3.0
1;22;0;0.007519;0.075686;0.009244;0.000000;0.3.0
1;23;0;0.013233;0.223552;0.004510;0.000000;0.3.0
1;24;0;0.008618;0.231341;0.000699;0.000000;0.3.0
1;10;1;0.015467;0.062251;0.031007;0.000000;0.3.0
1;11;1;0.010647;0.016668;0.028363;0.000000;0.3.0
1;12;1;0.010376;0.087205;0.026528;0.000000;0.3.0
1;13;1;0.009885;0.107962;0.027487;0.000000;0.3.0
1;14;1;0.008664;0.082624;0.026067;0.000000;0.3.0
1;15;1;0.009304;0.106283;0.034646;0.000000;0.3.0
1;16;1;0.008302;0.221596;0.034382;0.000000;0.3.0
1;17;1;0.013247;0.079433;0.006928;0.000000;0.3.0
1;18;1;0.008676;0.228320;0.013507;0.000000;0.3.0
1;19;1;0.004988;0.109619;0.023256;0.000000;0.3.0
1;20;1;0.015751;0.139457;0.020010;0.000000;0.3.0
1;21;1;0.007298;0.226653;0.009417;0.000000;0.3.0
1;22;1;0.008553;0.157739;0.006153;0.000000;0.3.0
1;23;1;0.004760;0.073150;0.002266;0.000000;0.3.0
1;24;1;0.009008;0.224332;0.001363;0.000000;0.3.0
1;10;2;0.011261;0.199623;0.028728;0.000000;0.3.0
1;11;2;0.011147;0.180821;0.030656;0.000000;0.3.0
1;12;2;0.006673;0.207078;0.017247;0.000000;0.3.0
1;13;2;0.008239;0.140244;0.012038;0.000000;0.3.0
1;14;2;0.011040;0.145760;0.013268;0.000000;0.3.0
1;15;2;0.007453;0.032597;0.027881;0.000000;0.3.0
1;16;2;0.009155;0.129753;0.023888;0.000000;0.3.0
1;17;2;0.006311;0.034507;0.027170;0.000000;0.3.0
1;18;2;0.011138;0.176802;0.024011;0.000000;0.3.0
1;19;2;0.003012;0.128458;0.024595;0.000000;0.3.0
1;20;2;0.005585;0.192997;0.012413;0.000000;0.3.0
1;21;2;0.006865;0.033508;0.007832;0.000000;0.3.0
1;22;2;0.009756;0.029949;0.005386;0.000000;0.3.0
1;23;2;0.010037;0.072912;0.003395;0.000000;0.3.0
1;24;2;0.005370;0.161440;0.003155;0.000000;0.3.0
1;10;3;0.003058;0.072648;0.035517;0.000000;0.3.0
1;11;3;0.007042;0.197869;0.025248;0.000000;0.3.0
1;12;3;0.004204;0.169106;0.019010;0.000000;0.3.0
1;13;3;0.003774;0.161664;0.014388;0.000000;0.3.0
1;14;3;0.007474;0.249115;0.030092;0.000000;0.3.0
1;15;3;0.008527;0.083131;0.016364;0.000000;0.3.0
1;16;3;0.007732;0.137812;0.016831;0.000000;0.3.0
1;17;3;0.009097;0.201392;0.046328;0.000000;0.3.0
1;18;3;0.006245;0.209331;0.010617;0.000000;0.3.0
1;19;3;0.004570;0.230377;0.027290;0.000000;0.3.0
1;20;3;0.007285;0.205315;0.014921;0.000000;0.3.0
1;21;3;0.005281;0.187335;0.003286;0.000000;0.3.0
1;22;3;0.005060;0.102744;0.005771;0.000000;0.3.0
1;23;3;0.004706;0.210689;0.001789;0.000000;0.3.0
1;24;3;0.007397;0.241997;0.000971;0.000000;0.3.0
1;10;4;0.008111;0.189081;0.012914;0.000000;0.3.0
1;11;4;0.003603;0.147140;0.023981;0.000000;0.3.0
1;12;4;0.009321;0.125392;0.020294;0.000000;0.3.0
1;13;4;0.006524;0.069642;0.019362;0.000000;0.3.0
1;14;4;0.004687;0.177232;0.020670;0.000000;0.3.0
1;15;4;0.002823;0.206651;0.013140;0.000000;0.3.0
1;16;4;0.005593;0.237064;0.020859;0.000000;0.3.0
1;17;4;0.004658;0.144843;0.012852;0.000000;0.3.0
1;18;4;0.005754;0.146987;0.003184;0.000000;0.3.0
1;19;4;0.006776;0.216258;0.005362;0.000000;0.3.0
1;20;4;0.007605;0.095239;0.046242;0.000000;0.3.0
1;21;4;0.005780;0.180586;0.026020;0.000000;0.3.0
1;22;4;0.004244;0.167764;0.012919;0.000000;0.3.0
1;23;4;0.002935;0.269473;0.007925;0.000000;0.3.0
1;24;4;0.003618;0.152406;0.002737;0.000000;0.3.0
1;10;5;0.005274;0.043831;0.015637;0.000000;0.3.0
1;11;5;0.004439;0.130666;0.009948;0.000000;0.3.0
1;12;5;0.004654;0.243413;0.015735;0.000000;0.3.0
1;13;5;0.001813;0.053604;0.009705;0.000000;0.3.0
