root;compression;compressionBzip2;compressionGzip;compressionLzo;compressionLzma;disableCompressibilityTesting;level_1;level_2;level_3;level_4;level_5;level_6;level_7;level_8;level_9;level;maxWindowSize_1;maxWindowSize_2;maxWindowSize_4;maxWindowSize_8;maxWindowSize;processorCount_1;processorCount_2;processorCount_4;processorCount_8;processorCount;revision;performance;size;cpu
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;530;20637.2;652020836;3.107534
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;530;20779.4;652020836;3.130484
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;530;20088;652020686;3.107835
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;530;21157.8;652020357;3.401375
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;530;20208.2;652019971;4.279789
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;530;22738.6;652019482;5.542589
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;530;27586.6;652017712;5.132989
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;530;27656.2;652017499;4.974876
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;530;28586.4;652017043;5.069234
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;530;20796.6;652020503;5.760887
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;530;19625.4;652020503;5.987484
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;530;21121;652020404;5.777308
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;530;19334.4;652020150;5.990813
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;530;20383;652019754;5.970667
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;530;21380;652019325;5.620072
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;530;24738;652017617;5.442887
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;530;24842.6;652017374;5.38879
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;530;24691.8;652016938;5.22762
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;530;20602.6;652020281;5.988238
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;530;20536.8;652020281;5.850762
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;530;19532.6;652020208;6.102481
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;530;19180.6;652019958;6.127985
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;530;20219.6;652019631;5.586065
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;530;20421.6;652019413;5.997333
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;530;22743.4;652017943;5.533004
1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;530;22184.4;652017725;5.820909
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;530;22812.4;652017305;5.609987
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;530;19967.4;652020148;5.739737
1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;530;19347.8;652020148;6.012895
