root;Workloads;LRA;QF_FP;QF_LRA;QF_UFLRA;well_sorted_check;proof;model_validate;unsat_core;smtlib2_compliant;compact;partial;type_check;revision;performance;memory
1;1;0;0;0;1;0;0;0;0;0;0;0;0;4.3.2;99.04;51746.4
1;1;0;0;0;1;0;0;0;0;0;0;0;1;4.3.2;95.652;51592
1;1;0;0;0;1;0;0;0;0;0;0;1;0;4.3.2;97.978;51800.8
1;1;0;0;0;1;0;0;0;0;0;0;1;1;4.3.2;97.536;51690.4
1;1;0;0;0;1;0;0;0;0;0;1;0;0;4.3.2;98.462;51788.8
1;1;0;0;0;1;0;0;0;0;0;1;0;1;4.3.2;101.116;51704.8
1;1;0;0;0;1;0;0;0;0;0;1;1;0;4.3.2;95.832;51779.2
1;1;0;0;0;1;0;0;0;0;0;1;1;1;4.3.2;98.446;51629.6
1;1;0;0;0;1;0;0;0;0;1;0;0;0;4.3.2;99.51;51820.8
1;1;0;0;0;1;0;0;0;0;1;0;0;1;4.3.2;95.352;51752.8
1;1;0;0;0;1;0;0;0;0;1;0;1;0;4.3.2;97.728;51804.8
1;1;0;0;0;1;0;0;0;0;1;0;1;1;4.3.2;100.852;51861.6
1;1;0;0;0;1;0;0;0;0;1;1;0;0;4.3.2;97.098;51809.6
1;1;0;0;0;1;0;0;0;0;1;1;0;1;4.3.2;98.87;52009.6
1;1;0;0;0;1;0;0;0;0;1;1;1;0;4.3.2;98.996;51923.2
1;1;0;0;0;1;0;0;0;0;1;1;1;1;4.3.2;96.75;51863.2
1;1;0;0;0;1;0;0;0;1;0;0;0;0;4.3.2;101.3;52231.2
1;1;0;0;0;1;0;0;0;1;0;0;0;1;4.3.2;97.742;52060
1;1;0;0;0;1;0;0;0;1;0;0;1;0;4.3.2;100.146;51777.6
1;1;0;0;0;1;0;0;0;1;0;0;1;1;4.3.2;102.178;52097.6
1;1;0;0;0;1;0;0;0;1;0;1;0;0;4.3.2;96.256;51888.8
1;1;0;0;0;1;0;0;0;1;0;1;0;1;4.3.2;99.214;51996.8
1;1;0;0;0;1;0;0;0;1;0;1;1;0;4.3.2;102.802;51943.2
1;1;0;0;0;1;0;0;0;1;0;1;1;1;4.3.2;96.696;52027.2
1;1;0;0;0;1;0;0;0;1;1;0;0;0;4.3.2;99.1;49728.8
1;1;0;0;0;1;0;0;0;1;1;0;0;1;4.3.2;100.976;49732.8
1;1;0;0;0;1;0;0;0;1;1;0;1;0;4.3.2;95.27;49676
1;1;0;0;0;1;0;0;0;1;1;0;1;1;4.3.2;98.86;49631.2
1;1;0;0;0;1;0;0;0;1;1;1;0;0;4.3.2;98.888;49660
1;1;0;0;0;1;0;0;0;1;1;1;0;1;4.3.2;97.272;49527.2
1;1;0;0;0;1;0;0;0;1;1;1;1;0;4.3.2;100.08;49687.2
1;1;0;0;0;1;0;0;0;1;1;1;1;1;4.3.2;96.246;49802.4
1;1;0;0;0;1;0;0;1;0;0;0;0;0;4.3.2;106.93;51804
1;1;0;0;0;1;0;0;1;0;0;0;0;1;4.3.2;108.578;52006.4
1;1;0;0;0;1;0;0;1;0;0;0;1;0;4.3.2;104.572;52073.6
1;1;0;0;0;1;0;0;1;0;0;0;1;1;4.3.2;106.948;51768.8
1;1;0;0;0;1;0;0;1;0;0;1;0;0;4.3.2;109.872;51843.2
1;1;0;0;0;1;0;0;1;0;0;1;0;1;4.3.2;103.658;51605.6
1;1;0;0;0;1;0;0;1;0;0;1;1;0;4.3.2;107.446;51886.4
1;1;0;0;0;1;0;0;1;0;0;1;1;1;4.3.2;107.156;51964.8
1;1;0;0;0;1;0;0;1;0;1;0;0;0;4.3.2;101.67;51961.6
1;1;0;0;0;1;0;0;1;0;1;0;0;1;4.3.2;105.68;52071.2
1;1;0;0;0;1;0;0;1;0;1;0;1;0;4.3.2;105.15;52144.8
1;1;0;0;0;1;0;0;1;0;1;0;1;1;4.3.2;103.898;52056.8
1;1;0;0;0;1;0;0;1;0;1;1;0;0;4.3.2;105.216;52140
1;1;0;0;0;1;0;0;1;0;1;1;0;1;4.3.2;103.712;52140
1;1;0;0;0;1;0;0;1;0;1;1;1;0;4.3.2;105.99;51900.8
1;1;0;0;0;1;0;0;1;0;1;1;1;1;4.3.2;107.224;52403.2
1;1;0;0;0;1;0;0;1;1;0;0;0;0;4.3.2;103.844;51822.4
1;1;0;0;0;1;0;0;1;1;0;0;0;1;4.3.2;106.07;52108
1;1;0;0;0;1;0;0;1;1;0;0;1;0;4.3.2;110.62;51968.8
1;1;0;0;0;1;0;0;1;1;0;0;1;1;4.3.2;104.156;51809.6
1;1;0;0;0;1;0;0;1;1;0;1;0;0;4.3.2;107.324;51724.8
1;1;0;0;0;1;0;0;1;1;0;1;0;1;4.3.2;108.092;52033.6
1;1;0;0;0;1;0;0;1;1;0;1;1;0;4.3.2;103.712;51733.6
1;1;0;0;0;1;0;0;1;1;0;1;1;1;4.3.2;107.06;52012.8
1;1;0;0;0;1;0;0;1;1;1;0;0;0;4.3.2;106.83;52352
1;1;0;0;0;1;0;0;1;1;1;0;0;1;4.3.2;105.61;52293.6
1;1;0;0;0;1;0;0;1;1;1;0;1;0;4.3.2;107.372;52314.4
1;1;0;0;0;1;0;0;1;1;1;0;1;1;4.3.2;104.132;52481.6
1;1;0;0;0;1;0;0;1;1;1;1;0;0;4.3.2;105.904;52295.2
1;1;0;0;0;1;0;0;1;1;1;1;0;1;4.3.2;107.838;52258.4
1;1;0;0;0;1;0;0;1;1;1;1;1;0;4.3.2;103.05;52329.6
1;1;0;0;0;1;0;0;1;1;1;1;1;1;4.3.2;105.844;52412
1;1;0;0;0;1;0;1;0;0;0;0;0;0;4.3.2;174.628;332793.6
1;1;0;0;0;1;0;1;0;0;0;0;0;1;4.3.2;169.098;332065.6
1;1;0;0;0;1;0;1;0;0;0;0;1;0;4.3.2;172.762;332901.6
1;1;0;0;0;1;0;1;0;0;0;0;1;1;4.3.2;170.112;332108.8
1;1;0;0;0;1;0;1;0;0;0;1;0;0;4.3.2;171.862;332112.8
1;1;0;0;0;1;0;1;0;0;0;1;0;1;4.3.2;174.122;332308
1;1;0;0;0;1;0;1;0;0;0;1;1;0;4.3.2;172.47;333432
1;1;0;0;0;1;0;1;0;0;0;1;1;1;4.3.2;167.974;332766.4
1;1;0;0;0;1;0;1;0;0;1;0;0;0;4.3.2;169.75;335140.8
1;1;0;0;0;1;0;1;0;0;1;0;0;1;4.3.2;173.09;334021.6
1;1;0;0;0;1;0;1;0;0;1;0;1;0;4.3.2;165.14;334976
1;1;0;0;0;1;0;1;0;0;1;0;1;1;4.3.2;173.654;333997.6
1;1;0;0;0;1;0;1;0;0;1;1;0;0;4.3.2;170.252;334118.4
1;1;0;0;0;1;0;1;0;0;1;1;0;1;4.3.2;165.896;335944
1;1;0;0;0;1;0;1;0;0;1;1;1;0;4.3.2;171.38;335736
1;1;0;0;0;1;0;1;0;0;1;1;1;1;4.3.2;168.402;334626.4
1;1;0;0;0;1;0;1;0;1;0;0;0;0;4.3.2;170.426;337560
1;1;0;0;0;1;0;1;0;1;0;0;0;1;4.3.2;175.91;337652
1;1;0;0;0;1;0;1;0;1;0;0;1;0;4.3.2;168.294;337976.8
1;1;0;0;0;1;0;1;0;1;0;0;1;1;4.3.2;172.35;338461.6
1;1;0;0;0;1;0;1;0;1;0;1;0;0;4.3.2;174.598;338904.8
1;1;0;0;0;1;0;1;0;1;0;1;0;1;4.3.2;167.75;338169.6
1;1;0;0;0;1;0;1;0;1;0;1;1;0;4.3.2;172.688;337302.4
1;1;0;0;0;1;0;1;0;1;0;1;1;1;4.3.2;175.44;336095.2
1;1;0;0;0;1;0;1;0;1;1;0;0;0;4.3.2;164.17;332641.6
1;1;0;0;0;1;0;1;0;1;1;0;0;1;4.3.2;172.434;332968.8
1;1;0;0;0;1;0;1;0;1;1;0;1;0;4.3.2;168.468;333386.4
1;1;0;0;0;1;0;1;0;1;1;0;1;1;4.3.2;167.536;332574.4
1;1;0;0;0;1;0;1;0;1;1;1;0;0;4.3.2;172.626;333434.4
1;1;0;0;0;1;0;1;0;1;1;1;0;1;4.3.2;166.302;331997.6
1;1;0;0;0;1;0;1;0;1;1;1;1;0;4.3.2;171.558;332317.6
1;1;0;0;0;1;0;1;0;1;1;1;1;1;4.3.2;173.946;331860.8
1;1;0;0;0;1;0;1;1;0;0;0;0;0;4.3.2;174.862;335937.6
1;1;0;0;0;1;0;1;1;0;0;0;0;1;4.3.2;179.344;335748.8
1;1;0;0;0;1;0;1;1;0;0;0;1;0;4.3.2;178.268;335376.8
1;1;0;0;0;1;0;1;1;0;0;0;1;1;4.3.2;179.654;336444
1;1;0;0;0;1;0;1;1;0;0;1;0;0;4.3.2;175.308;334773.6
1;1;0;0;0;1;0;1;1;0;0;1;0;1;4.3.2;182.958;334760
1;1;0;0;0;1;0;1;1;0;0;1;1;0;4.3.2;178.368;333744
1;1;0;0;0;1;0;1;1;0;0;1;1;1;4.3.2;178.266;335056.8
1;1;0;0;0;1;0;1;1;0;1;0;0;0;4.3.2;180.582;334367.2
1;1;0;0;0;1;0;1;1;0;1;0;0;1;4.3.2;170.83;336018.4
1;1;0;0;0;1;0;1;1;0;1;0;1;0;4.3.2;180.218;334893.6
1;1;0;0;0;1;0;1;1;0;1;0;1;1;4.3.2;173.754;335294.4
1;1;0;0;0;1;0;1;1;0;1;1;0;0;4.3.2;177.964;335416.8
1;1;0;0;0;1;0;1;1;0;1;1;0;1;4.3.2;177.316;335434.4
1;1;0;0;0;1;0;1;1;0;1;1;1;0;4.3.2;173.168;334416.8
1;1;0;0;0;1;0;1;1;0;1;1;1;1;4.3.2;180.272;334560
1;1;0;0;0;1;0;1;1;1;0;0;0;0;4.3.2;178.718;337466.4
