,revision,performance,cpu,benchmark-energy,fixed-energy,benchmark-power,fixed-power
0,2.1.0,55541.6,6.728938,1810.8,5495.802956,31.941887,22.927851
1,2.1.0,55221.6,6.029091,1740.4,5346.309839,31.3734,22.294462
2,2.1.0,55333.4,5.985394,1786.4,5468.686721,31.813346,22.626367
3,2.1.0,56381.4,7.221299,1808.2,5495.88908,31.929928,22.688103
4,2.1.0,54747.0,5.908067,1760.6,5581.580428,31.971497,23.045904
5,2.1.0,55750.0,6.14433,1801.4,5547.362484,32.103482,22.865906
6,2.1.0,56034.2,6.827896,1804.8,5435.057456,32.046902,22.571254
7,2.1.0,55261.6,6.067446,1802.2,5496.556168,32.230354,22.902134
8,2.1.0,54836.4,5.83548,1734.8,5406.687716,31.525657,22.502162
9,2.1.0,55806.6,6.57726,1781.8,5420.809292,31.62724,22.420173
10,2.1.0,55205.6,5.967599,1800.6,5554.89946,32.459061,23.016757
11,2.1.0,55275.2,8.01512,1799.4,5615.63963,32.051611,23.368856
12,2.1.0,56089.0,8.892032,1822.6,5611.84754,32.38551,23.189231
13,2.1.0,55472.6,8.360422,1790.8,5534.328415,32.405923,23.181035
14,2.1.0,55083.6,7.951636,1747.2,5476.81178,31.624907,22.8267
15,2.1.0,56141.6,9.000313,1750,5466.037911,31.665438,22.889857
16,2.1.0,55294.2,8.326909,1742,5478.081671,31.2523,22.720151
17,2.1.0,55523.8,6.30252,1781,5440.120684,31.843301,22.57845
18,2.1.0,61395.0,9.755537,1932.2,5461.445889,31.329387,22.748331
19,2.1.0,60983.0,9.345737,1910.8,5464.182916,31.068031,22.641312
20,2.1.0,61773.8,9.522091,1954,5500.684388,31.382187,22.966006
21,2.1.0,58959.0,8.338161,1835.8,5424.039024,31.123353,22.457126
22,2.1.0,59190.0,8.137876,1851.2,5405.408349,31.009707,22.361239
23,2.1.0,58091.6,7.916844,1844.6,5465.529825,31.537519,22.661145
24,2.1.0,58488.4,8.280609,1896.4,5439.455388,32.016923,22.674269
25,2.1.0,58752.2,8.089119,1843.6,5456.516052,31.032681,22.511045
26,2.1.0,57959.6,7.567217,1807,5415.080596,31.139567,22.584359
27,2.1.0,61586.2,9.893183,1950.6,5479.263496,31.395993,22.714789
28,2.1.0,61602.8,9.819865,1921.8,5439.105812,31.016896,22.509083
29,2.1.0,63234.2,10.612158,1981,5394.229498,31.149149,22.569853
30,2.1.0,62184.8,9.789014,1943.8,5460.852797,31.045314,22.823828
31,2.1.0,62131.8,9.97862,1933.8,5398.38568,30.963647,22.505783
32,2.1.0,62664.8,10.058089,1928.6,5403.002026,30.672406,22.379445
33,2.1.0,60144.2,8.955694,1882.2,5393.328324,31.018057,22.567427
34,2.1.0,58255.2,7.881972,1823.6,5468.999018,31.170597,22.597045
35,2.1.0,59835.6,8.524857,1906.4,5461.603844,31.695435,22.773862
36,2.1.0,59266.4,8.661136,1854.8,5413.65503,31.154666,22.491225
37,2.1.0,58561.4,8.334307,1812,5359.435178,31.036808,22.245084
38,2.1.0,58811.2,7.964611,1873.2,5487.974682,31.774266,22.837129
39,2.1.0,60203.4,9.029696,1883.2,5420.104938,31.24241,22.563497
40,2.1.0,59311.2,8.425363,1867.6,5444.033438,31.288342,22.580883
41,2.1.0,59525.6,8.363851,1814.4,5396.837879,30.648511,22.504958
42,2.1.0,60043.8,8.93796,1907.6,5532.190314,31.541177,22.899298
43,2.1.0,58234.2,7.795475,1821.4,5335.148893,30.989109,22.225974
44,2.1.0,58236.2,7.73114,1805.6,5344.332958,30.94476,22.417944
45,2.1.0,60863.4,9.18553,1943.2,5535.814012,31.560374,22.95422
46,2.1.0,60204.6,8.98678,1873.8,5405.974408,30.8409,22.337403
47,2.1.0,60313.8,8.799186,1911.6,5449.9518,31.495654,22.512957
48,2.1.0,60132.2,8.814468,1863.2,5350.827488,30.820418,22.242864
49,2.1.0,58978.2,8.111379,1868.2,5536.571415,31.532214,22.950035
50,2.1.0,57865.6,7.880027,1824,5471.429905,31.431811,22.655522
51,2.1.0,58416.4,8.093879,1874,5568.729576,31.969286,23.07867
52,2.1.0,57922.2,7.844828,1824,5366.457621,31.345417,22.312152
53,2.1.0,59195.4,8.257893,1840.8,5384.485988,30.922221,22.449416
54,2.1.0,63854.4,10.82713,1969,5390.135151,30.861307,22.751248
55,2.1.0,62488.8,10.216206,1980.6,5590.606413,31.580143,23.258318
56,2.1.0,62716.0,10.448348,1967.4,5405.363282,31.124847,22.522619
57,2.1.0,62877.2,10.422243,1948.2,5430.162993,30.795465,22.585325
58,2.1.0,61576.8,9.465537,1926,5525.011129,31.153343,22.849342
59,2.1.0,61414.6,9.030727,1961.6,5434.502234,31.459627,22.551475
60,2.1.0,59831.4,8.878051,1926.8,5549.198081,32.036902,23.152021
61,2.1.0,59514.8,8.267785,1923.8,5556.186555,32.101854,23.125906
62,2.1.0,59228.0,8.20666,1872.6,5451.420952,31.336089,22.607669
63,2.1.0,60367.6,8.908438,1909.4,5398.186013,31.546286,22.747015
64,2.1.0,60131.6,8.570005,1950.2,5566.512153,32.156319,22.986313
65,2.1.0,60544.8,8.798859,1924.8,5549.817028,31.664383,23.007993
66,2.1.0,60259.8,9.129009,1923,5437.239795,31.567886,22.720617
67,2.1.0,59752.4,8.493243,1896.4,5439.854496,31.536533,22.706463
68,2.1.0,59541.8,8.317872,1912.4,5525.215369,31.880625,22.90479
69,2.1.0,58715.6,8.364793,1866.6,5423.463249,31.581584,22.334762
70,2.1.0,58289.6,7.651358,1859.6,5518.84793,31.629981,22.943478
71,2.1.0,59038.8,7.940273,1903.6,5472.327872,31.895605,22.666
72,2.1.0,54836.4,5.247704,1721.2,5456.947895,31.444558,22.75099
73,2.1.0,54734.2,5.232727,1712.4,5369.932006,31.098731,22.13446
74,2.1.0,54957.8,5.303751,1718.8,5409.287911,31.197832,22.414459
75,2.1.0,54855.6,5.262151,1746.4,5412.177715,31.610682,22.664033
76,2.1.0,54943.6,5.451818,1733.8,5412.98526,31.371073,22.637056
77,2.1.0,54794.4,5.311013,1761.6,5398.892814,31.849075,22.272552
78,2.1.0,62522.4,9.846262,1914.2,5457.170408,30.549534,22.674552
79,2.1.0,58469.6,7.472621,1873.8,5541.428392,31.602349,22.916036
80,2.1.0,59456.6,7.880741,1901.6,5495.337477,31.754325,23.01095
81,2.1.0,62380.2,9.536452,1940.6,5512.186078,31.036371,23.041004
82,2.1.0,62054.0,9.523473,1987.8,5607.100979,31.933241,23.303206
83,2.1.0,57890.2,7.173542,1757.6,5343.346895,30.285714,22.181445
84,2.1.0,58718.2,7.570446,1825.6,5440.638017,30.79326,22.644088
85,2.1.0,58674.4,7.766762,1798.8,5400.363223,30.592168,22.410022
86,2.1.0,57996.4,7.38824,1801.8,5347.956056,30.842127,22.161266
87,2.1.0,61933.8,9.115212,1952.8,5593.372915,31.507857,23.294018
88,2.1.0,59033.0,7.822452,1855.2,5441.268749,31.268718,22.592531
89,2.1.0,58203.8,7.563052,1807.6,5463.84833,30.905937,22.758144
90,2.1.0,61404.6,9.091682,1916,5475.387574,31.014985,22.636657
91,2.1.0,60814.6,8.554054,1919.4,5445.583763,31.293936,22.697347
92,2.1.0,58277.2,7.212153,1812.2,5418.018985,30.955817,22.575717
93,2.1.0,58295.4,7.349913,1832.2,5462.105081,31.26028,22.602854
