,revision,performance,cpu
0,5.5.23,125.04642,0.854001
1,5.5.23,133.98556,1.208289
2,5.5.23,121.63772,1.400382
3,5.5.23,126.7752,0.855103
4,5.5.23,127.46778,1.224568
5,5.5.23,113.53816,1.334474
6,5.5.23,124.6387,1.030046
7,5.5.23,114.61552,1.037945
8,5.5.23,115.0342,1.185563
9,5.5.23,128.35488,0.936226
10,5.5.23,121.80596,1.366431
11,5.5.23,128.78376,1.290487
12,5.5.23,116.55088,1.312847
13,5.5.23,116.44044,1.23865
14,5.5.23,129.08016,1.176501
15,5.5.23,118.85442,1.059199
16,5.5.23,123.08648,0.908464
17,5.5.23,120.19892,1.114108
18,5.5.23,129.7693,1.386798
19,5.5.23,116.3145,1.009857
20,5.5.23,122.54524,1.033605
21,5.5.23,114.89862,1.480793
22,5.5.23,123.62826,1.302768
23,5.5.23,113.63584,1.385502
24,5.5.23,125.55854,1.31389
25,5.5.23,126.40986,1.163695
26,5.5.23,124.81936,1.232008
27,5.5.23,119.9873,1.503631
28,5.5.23,129.36576,1.181392
29,5.5.23,122.71674,1.086055
30,5.5.23,118.24482,0.940033
31,5.5.23,125.01378,1.206905
32,5.5.23,116.93684,1.555402
33,5.5.23,120.83666,1.821023
34,5.5.23,121.79,1.496895
35,5.5.23,125.12298,1.312503
36,5.5.23,121.94504,1.676892
37,5.5.23,116.43588,1.151319
38,5.5.23,131.48802,1.304201
39,5.5.23,121.98448,1.583403
40,5.5.23,115.21978,1.250386
41,5.5.23,123.81836,1.433459
42,5.5.23,122.32832,1.273824
43,5.5.23,119.3077,0.960495
44,5.5.23,127.43646,1.183032
45,5.5.23,123.91302,1.41712
46,5.5.23,121.95808,1.79656
47,5.5.23,119.95536,1.493096
48,5.5.23,121.31982,1.364122
49,5.5.23,112.59704,1.378102
50,5.5.23,125.41464,1.840183
51,5.5.23,123.98724,1.061057
52,5.5.23,113.40346,1.109068
53,5.5.23,119.3239,1.603778
54,5.5.23,181.38118,0.872319
55,5.5.23,175.99886,1.460499
56,5.5.23,176.16148,2.066584
57,5.5.23,173.52036,1.546571
58,5.5.23,181.21476,1.04007
59,5.5.23,178.2521,2.137873
60,5.5.23,176.79556,1.288379
61,5.5.23,170.22992,1.558469
62,5.5.23,176.5647,1.44427
63,5.5.23,175.63458,1.395487
64,5.5.23,183.1989,1.337802
65,5.5.23,172.23336,1.342055
66,5.5.23,175.36312,1.556829
67,5.5.23,180.80042,1.445072
68,5.5.23,175.53488,0.765897
69,5.5.23,173.78206,1.510098
70,5.5.23,174.5857,1.463435
71,5.5.23,179.4638,1.614058
72,5.5.23,174.99276,0.955394
73,5.5.23,179.00494,1.743974
74,5.5.23,180.32012,1.515545
75,5.5.23,175.37814,1.85455
76,5.5.23,174.45528,1.46793
77,5.5.23,176.85642,1.647885
78,5.5.23,180.28562,1.681551
79,5.5.23,174.4773,1.111346
80,5.5.23,170.07348,1.092922
81,5.5.23,188.57942,1.343495
82,5.5.23,177.78818,1.100614
83,5.5.23,179.7986,1.228668
84,5.5.23,181.26718,1.649245
85,5.5.23,178.01696,1.350048
86,5.5.23,173.6132,1.768813
87,5.5.23,177.06604,1.595874
88,5.5.23,180.64342,1.91815
89,5.5.23,177.58608,1.124403
90,5.5.23,175.32934,1.256827
91,5.5.23,178.3131,1.340953
92,5.5.23,181.26304,1.520679
93,5.5.23,172.2998,1.287828
94,5.5.23,177.2661,1.525421
95,5.5.23,191.06022,1.699333
96,5.5.23,171.38034,1.469266
97,5.5.23,177.76436,1.303942
98,5.5.23,188.81402,1.675531
99,5.5.23,180.32608,1.621846
100,5.5.23,171.75344,1.347636
101,5.5.23,178.21532,1.898812
102,5.5.23,179.44988,0.97027
103,5.5.23,175.52462,1.922952
104,5.5.23,174.03614,1.402351
105,5.5.23,175.1385,0.973495
106,5.5.23,172.59244,1.08773
107,5.5.23,180.17284,1.572861
108,5.5.23,118.42132,1.53464
109,5.5.23,121.12038,0.945183
110,5.5.23,118.80054,1.071456
111,5.5.23,120.73656,1.238929
112,5.5.23,115.87492,1.720643
113,5.5.23,120.47608,1.373703
114,5.5.23,121.19686,1.579462
115,5.5.23,131.52412,1.320893
116,5.5.23,116.35338,1.158239
117,5.5.23,122.89242,1.492625
118,5.5.23,115.498,1.011087
119,5.5.23,122.29276,1.4817
120,5.5.23,117.7813,1.419228
121,5.5.23,114.8263,1.181582
122,5.5.23,124.17156,1.767766
123,5.5.23,122.80588,1.681275
124,5.5.23,120.791,1.241244
125,5.5.23,122.48398,1.626485
126,5.5.23,120.51764,1.263045
127,5.5.23,126.35406,1.470312
128,5.5.23,128.82688,1.76642
129,5.5.23,114.0654,1.185349
130,5.5.23,118.85188,1.200475
131,5.5.23,118.03924,1.215142
132,5.5.23,129.70458,1.522356
133,5.5.23,114.59372,1.260072
134,5.5.23,117.21686,1.288386
135,5.5.23,123.9989,0.911208
136,5.5.23,117.66024,1.768042
137,5.5.23,125.05974,1.615202
138,5.5.23,119.4655,1.123647
139,5.5.23,114.51954,1.265266
140,5.5.23,126.34656,1.497657
141,5.5.23,116.62432,1.567851
142,5.5.23,127.55346,1.515052
143,5.5.23,118.84876,1.216543
144,5.5.23,127.8387,1.62964
145,5.5.23,115.6123,1.290291
146,5.5.23,121.46624,1.25517
147,5.5.23,116.40324,1.249811
148,5.5.23,122.55238,1.667423
149,5.5.23,119.31096,1.318974
150,5.5.23,119.991,1.43041
151,5.5.23,122.7242,1.292113
152,5.5.23,125.26618,1.177749
153,5.5.23,117.622,1.374506
154,5.5.23,126.29584,1.575633
155,5.5.23,116.1588,1.446285
156,5.5.23,121.58738,1.412335
157,5.5.23,114.50406,1.499513
158,5.5.23,129.66698,1.52618
159,5.5.23,123.0186,1.203745
160,5.5.23,125.35582,1.327049
161,5.5.23,115.6765,1.512031
162,5.5.23,177.5663,1.435696
163,5.5.23,170.40108,1.784679
164,5.5.23,180.56228,1.125591
165,5.5.23,175.3546,1.265222
166,5.5.23,179.16792,1.262123
167,5.5.23,173.10518,2.016324
168,5.5.23,179.42362,1.060439
169,5.5.23,176.93596,1.726436
170,5.5.23,179.94782,1.01939
171,5.5.23,170.29274,1.808251
172,5.5.23,180.28216,1.983847
173,5.5.23,176.9678,0.71677
174,5.5.23,179.80136,1.073761
175,5.5.23,173.22614,2.013609
176,5.5.23,172.62738,1.964941
177,5.5.23,181.75626,1.528505
178,5.5.23,177.36326,2.031896
179,5.5.23,177.23772,2.095229
180,5.5.23,178.87404,1.838614
181,5.5.23,179.94646,1.743509
182,5.5.23,178.723,1.621138
183,5.5.23,173.776,2.217625
184,5.5.23,181.1526,1.666284
185,5.5.23,177.52628,1.651148
186,5.5.23,177.79598,1.723537
187,5.5.23,174.65252,1.890826
188,5.5.23,177.08574,1.584845
189,5.5.23,181.02422,1.411677
190,5.5.23,177.3323,1.99293
191,5.5.23,177.41574,1.534226
192,5.5.23,180.58956,1.611069
193,5.5.23,180.5851,1.525838
194,5.5.23,176.46904,1.933362
195,5.5.23,178.14538,1.611674
196,5.5.23,180.63836,1.288336
197,5.5.23,170.57028,2.069296
198,5.5.23,181.96956,1.882176
199,5.5.23,183.88012,1.452562
200,5.5.23,177.64608,1.069611
201,5.5.23,180.19704,1.186186
202,5.5.23,178.4121,1.696682
203,5.5.23,175.8186,1.451302
204,5.5.23,178.91156,1.490079
205,5.5.23,182.41658,1.418535
206,5.5.23,176.66856,1.318392
207,5.5.23,178.0826,1.634677
208,5.5.23,183.01714,1.418448
209,5.5.23,181.23116,1.594155
210,5.5.23,171.7816,0.928232
211,5.5.23,178.28444,1.325654
212,5.5.23,184.83512,1.530652
213,5.5.23,177.80492,1.832268
214,5.5.23,171.53402,1.740966
215,5.5.23,177.21096,0.989119
216,5.5.23,120.07052,1.750145
217,5.5.23,124.48482,1.174862
218,5.5.23,126.95992,1.50193
219,5.5.23,119.7323,1.831356
220,5.5.23,128.68732,1.454731
221,5.5.23,115.38526,1.700098
222,5.5.23,121.25504,1.304792
223,5.5.23,119.6247,1.335567
224,5.5.23,130.41578,1.18915
225,5.5.23,119.88494,1.620804
226,5.5.23,123.8127,1.192834
227,5.5.23,125.17162,1.529609
228,5.5.23,114.52396,1.439997
229,5.5.23,114.12722,1.226597
230,5.5.23,123.41578,1.3559
231,5.5.23,116.13754,1.505431
232,5.5.23,123.04078,1.637596
233,5.5.23,114.14494,1.092305
234,5.5.23,126.12744,1.552111
235,5.5.23,129.17706,1.082539
236,5.5.23,117.71412,1.431294
237,5.5.23,116.99104,1.303628
238,5.5.23,124.79356,1.570267
239,5.5.23,116.31698,1.771075
240,5.5.23,112.97924,1.853822
241,5.5.23,125.46788,1.603824
242,5.5.23,125.58738,1.454669
243,5.5.23,119.7364,0.901158
244,5.5.23,117.28262,1.377853
245,5.5.23,126.22974,1.592763
246,5.5.23,117.3155,1.259807
247,5.5.23,126.87638,1.635825
248,5.5.23,119.09052,1.742032
249,5.5.23,128.68312,1.62485
250,5.5.23,120.23388,1.684115
251,5.5.23,119.63152,1.53006
252,5.5.23,130.35374,1.640286
253,5.5.23,123.19326,1.219999
254,5.5.23,129.01002,1.168187
255,5.5.23,122.76504,1.446188
256,5.5.23,121.89886,1.16156
257,5.5.23,122.82774,1.412013
258,5.5.23,122.3016,1.681657
259,5.5.23,115.30928,1.486519
260,5.5.23,114.72208,1.301492
261,5.5.23,117.14142,1.60329
262,5.5.23,131.25554,1.547307
263,5.5.23,122.07476,1.774848
264,5.5.23,114.87466,1.310189
265,5.5.23,123.78428,1.51514
266,5.5.23,123.3617,1.333908
267,5.5.23,121.4614,1.676409
268,5.5.23,126.26398,1.512312
269,5.5.23,119.05208,1.658601
270,5.5.23,176.19202,1.550187
271,5.5.23,180.72214,1.372176
272,5.5.23,177.53486,1.301953
273,5.5.23,170.72732,1.755486
274,5.5.23,179.00012,1.096698
275,5.5.23,179.30824,1.291292
276,5.5.23,169.8978,1.590826
277,5.5.23,183.21626,0.926898
278,5.5.23,174.33922,1.083807
279,5.5.23,176.46372,1.720554
280,5.5.23,180.9,1.133417
281,5.5.23,174.69506,1.398684
282,5.5.23,187.5738,1.270137
283,5.5.23,172.23084,1.448602
284,5.5.23,173.57106,0.993227
285,5.5.23,180.10016,0.997026
286,5.5.23,175.67328,1.10179
287,5.5.23,169.3049,1.602585
288,5.5.23,183.18258,1.204313
289,5.5.23,182.50358,1.432726
290,5.5.23,171.35632,1.366133
291,5.5.23,176.4387,1.28178
292,5.5.23,182.07568,0.985641
293,5.5.23,173.01462,1.340223
294,5.5.23,180.74404,1.510909
295,5.5.23,169.38282,1.769161
296,5.5.23,176.98162,1.033202
297,5.5.23,182.02178,1.023349
298,5.5.23,179.52026,1.04158
299,5.5.23,174.44154,1.847004
300,5.5.23,180.0308,1.142785
301,5.5.23,181.6575,0.796107
302,5.5.23,177.74126,1.442906
303,5.5.23,180.50068,1.2281
304,5.5.23,176.38086,1.923689
305,5.5.23,181.43888,0.834924
306,5.5.23,181.1247,1.63099
307,5.5.23,171.25536,1.284764
308,5.5.23,175.98088,1.924386
309,5.5.23,172.9436,1.017398
310,5.5.23,185.65122,1.44727
311,5.5.23,175.43282,1.069497
312,5.5.23,175.29492,1.638051
313,5.5.23,187.64878,1.452849
314,5.5.23,175.7166,1.47337
315,5.5.23,174.39754,1.477316
316,5.5.23,182.52318,1.950792
317,5.5.23,181.62938,1.055476
318,5.5.23,168.6486,1.231504
319,5.5.23,182.43748,1.347802
320,5.5.23,177.2871,1.235564
321,5.5.23,184.3327,1.479564
322,5.5.23,169.72098,1.3328
323,5.5.23,176.76922,1.187745
324,5.5.23,52.20946,1.109653
325,5.5.23,61.26984,1.084888
326,5.5.23,56.79678,1.037111
327,5.5.23,69.84158,0.986536
328,5.5.23,53.74536,1.134303
329,5.5.23,53.5127,1.148565
330,5.5.23,55.29538,1.11865
331,5.5.23,56.64196,1.022236
332,5.5.23,57.4121,1.046195
333,5.5.23,58.30808,1.011152
334,5.5.23,55.92076,1.185092
335,5.5.23,55.18468,1.060606
336,5.5.23,50.24688,1.185652
337,5.5.23,57.24786,1.096976
338,5.5.23,53.22808,1.087726
339,5.5.23,57.00268,1.061498
340,5.5.23,55.12764,1.072561
341,5.5.23,53.87182,1.077378
342,5.5.23,58.56168,1.026114
343,5.5.23,57.28512,1.326572
344,5.5.23,56.89524,1.157089
345,5.5.23,55.39832,0.989011
346,5.5.23,60.20726,0.990907
347,5.5.23,56.33962,0.998972
348,5.5.23,55.46736,1.112689
349,5.5.23,59.10018,1.039701
350,5.5.23,53.82358,1.148407
351,5.5.23,61.41316,1.072038
352,5.5.23,58.60762,1.082324
353,5.5.23,55.69986,1.334143
354,5.5.23,61.1868,1.056799
355,5.5.23,54.08436,1.038405
356,5.5.23,58.47978,1.361052
357,5.5.23,53.9746,1.157766
358,5.5.23,56.41754,1.083845
359,5.5.23,54.78342,1.047254
360,5.5.23,58.98504,1.114295
361,5.5.23,59.71754,1.112034
362,5.5.23,54.50026,1.107625
363,5.5.23,55.42798,1.063322
364,5.5.23,55.38008,1.145463
365,5.5.23,52.65882,1.154272
366,5.5.23,53.87942,1.119328
367,5.5.23,54.2045,1.123168
368,5.5.23,56.00954,1.198247
369,5.5.23,62.43622,1.056172
370,5.5.23,58.25244,1.145701
371,5.5.23,58.09226,1.184794
372,5.5.23,57.53774,1.087801
373,5.5.23,55.60016,1.1679
374,5.5.23,57.21396,1.048967
375,5.5.23,57.9755,1.096383
376,5.5.23,54.77976,1.107675
377,5.5.23,56.37158,1.126744
378,5.5.23,57.412,1.117666
379,5.5.23,56.15942,1.136601
380,5.5.23,58.63564,1.112062
381,5.5.23,54.99036,1.263152
382,5.5.23,55.92816,1.211703
383,5.5.23,58.9878,1.055473
384,5.5.23,58.8526,1.068011
385,5.5.23,57.57254,1.022812
386,5.5.23,57.45058,1.139934
387,5.5.23,62.66366,1.168551
388,5.5.23,59.16094,1.112764
389,5.5.23,59.5757,1.036678
390,5.5.23,55.3272,1.37295
391,5.5.23,54.96508,1.12377
392,5.5.23,56.2735,1.117987
393,5.5.23,54.75458,1.120256
394,5.5.23,55.18662,1.211333
395,5.5.23,54.12228,1.134251
396,5.5.23,57.79564,1.08991
397,5.5.23,67.19054,0.976881
398,5.5.23,57.41602,1.173321
399,5.5.23,56.06948,1.349602
400,5.5.23,58.49972,1.057554
401,5.5.23,56.38176,1.058865
402,5.5.23,54.89972,1.049231
403,5.5.23,56.6578,1.052576
404,5.5.23,56.13,1.08726
405,5.5.23,56.99306,1.117866
406,5.5.23,56.55628,1.106645
407,5.5.23,60.49956,1.252528
408,5.5.23,57.1123,1.076532
409,5.5.23,56.21558,1.042029
410,5.5.23,58.09538,1.02952
411,5.5.23,58.6828,1.11311
412,5.5.23,58.71764,1.11173
413,5.5.23,58.72738,1.048192
414,5.5.23,57.71964,1.112603
415,5.5.23,58.26976,1.077976
416,5.5.23,59.08964,1.145852
417,5.5.23,56.87824,1.018216
418,5.5.23,54.93058,1.192762
419,5.5.23,57.86106,1.043477
420,5.5.23,60.00652,1.057141
421,5.5.23,55.661,1.112726
422,5.5.23,60.1009,1.021653
423,5.5.23,59.4754,1.172157
424,5.5.23,62.92984,1.02628
425,5.5.23,57.66632,1.146882
426,5.5.23,60.53686,0.983703
427,5.5.23,57.86054,0.990194
428,5.5.23,55.77018,1.107656
429,5.5.23,55.59192,1.05447
430,5.5.23,56.90094,1.325767
431,5.5.23,58.4755,1.097826
432,5.5.23,123.54484,1.167659
433,5.5.23,113.69404,1.576464
434,5.5.23,122.00944,1.381999
435,5.5.23,112.51176,1.626005
436,5.5.23,120.3962,1.189982
437,5.5.23,117.11026,1.099527
438,5.5.23,127.43544,1.344654
439,5.5.23,118.67434,1.43341
440,5.5.23,118.73908,1.851179
441,5.5.23,123.6825,1.471232
442,5.5.23,120.671,1.658429
443,5.5.23,115.8916,1.90092
444,5.5.23,117.13518,1.605965
445,5.5.23,118.64902,1.383687
446,5.5.23,130.8058,1.357603
447,5.5.23,114.22426,1.46457
448,5.5.23,115.5995,1.439286
449,5.5.23,124.2963,1.433265
450,5.5.23,117.76904,1.472635
451,5.5.23,125.25544,1.192241
452,5.5.23,116.9548,1.972326
453,5.5.23,123.19502,1.110645
454,5.5.23,128.43802,1.433478
455,5.5.23,119.59966,0.958131
456,5.5.23,120.08256,1.659957
457,5.5.23,133.9769,1.394434
458,5.5.23,118.68144,1.612202
459,5.5.23,116.29216,1.043449
460,5.5.23,129.34306,1.691295
461,5.5.23,121.56908,1.676405
462,5.5.23,116.12178,1.572856
463,5.5.23,125.74614,1.397613
464,5.5.23,117.79226,1.312877
465,5.5.23,129.54504,1.279925
466,5.5.23,115.9307,1.51254
467,5.5.23,124.31406,1.334309
468,5.5.23,124.52294,1.513756
469,5.5.23,117.59062,1.263362
470,5.5.23,118.13148,1.04323
471,5.5.23,118.90076,1.309751
472,5.5.23,130.35138,1.234315
473,5.5.23,117.58236,1.485565
474,5.5.23,114.9336,1.80444
475,5.5.23,118.18754,1.715853
476,5.5.23,117.17658,1.484522
477,5.5.23,133.71362,1.055815
478,5.5.23,121.67208,1.638969
479,5.5.23,114.7085,1.244769
480,5.5.23,119.18408,1.702596
481,5.5.23,135.19068,1.210311
482,5.5.23,121.44138,1.294011
483,5.5.23,125.05746,1.236344
484,5.5.23,118.61242,1.43776
485,5.5.23,124.25438,1.605515
486,5.5.23,172.39392,1.727855
487,5.5.23,175.73212,1.402759
488,5.5.23,181.33798,1.628839
489,5.5.23,171.35418,2.015472
490,5.5.23,178.0487,1.235774
491,5.5.23,177.2799,1.57006
492,5.5.23,176.85788,1.262611
493,5.5.23,169.98328,2.041665
494,5.5.23,181.8021,1.319366
495,5.5.23,180.13456,1.419082
496,5.5.23,180.4361,1.542942
497,5.5.23,170.1876,1.5789
498,5.5.23,177.9595,1.360553
499,5.5.23,169.98034,1.612549
500,5.5.23,180.46828,1.413001
501,5.5.23,175.5583,1.591155
502,5.5.23,179.36014,1.275806
503,5.5.23,171.12652,1.075042
504,5.5.23,175.2786,1.699516
505,5.5.23,178.60256,1.540048
506,5.5.23,178.17538,1.695587
507,5.5.23,172.39058,1.49167
508,5.5.23,178.75154,1.772018
509,5.5.23,168.702,1.80465
510,5.5.23,178.74508,2.065721
511,5.5.23,170.51028,1.553922
512,5.5.23,173.66026,1.650832
513,5.5.23,172.98514,1.676251
514,5.5.23,179.66472,1.948636
515,5.5.23,177.9198,1.675458
516,5.5.23,175.742,1.334952
517,5.5.23,175.49802,2.036508
518,5.5.23,171.96888,1.684336
519,5.5.23,171.61054,1.748015
520,5.5.23,174.1661,1.332154
521,5.5.23,178.1024,1.772631
522,5.5.23,175.7517,1.205505
523,5.5.23,177.54738,1.507191
524,5.5.23,176.18756,1.717137
525,5.5.23,169.4899,1.770538
526,5.5.23,180.2798,1.473932
527,5.5.23,173.97048,1.319041
528,5.5.23,177.76278,1.459962
529,5.5.23,171.49632,2.264128
530,5.5.23,174.74778,1.954298
531,5.5.23,174.09088,1.839272
532,5.5.23,175.93208,1.280432
533,5.5.23,173.38834,1.513287
534,5.5.23,175.80674,1.673917
535,5.5.23,174.55674,1.579601
536,5.5.23,174.8529,1.147142
537,5.5.23,175.51436,1.390423
538,5.5.23,179.9565,1.735422
539,5.5.23,170.10494,1.310018
540,5.5.23,54.78162,1.112284
541,5.5.23,57.03224,1.071115
542,5.5.23,56.37812,1.062274
543,5.5.23,57.60766,1.154107
544,5.5.23,54.12256,1.360174
545,5.5.23,55.49252,1.032708
546,5.5.23,56.6332,0.978491
547,5.5.23,53.7373,1.091389
548,5.5.23,52.6492,1.092675
549,5.5.23,56.65866,1.102475
550,5.5.23,55.46742,1.166667
551,5.5.23,56.56904,1.035938
552,5.5.23,55.98198,1.019582
553,5.5.23,53.74432,1.098381
554,5.5.23,55.35056,1.104274
555,5.5.23,54.24944,1.105679
556,5.5.23,56.27472,1.037539
557,5.5.23,59.73738,0.955186
558,5.5.23,54.59134,1.052085
559,5.5.23,55.90594,1.115515
560,5.5.23,55.76476,1.089773
561,5.5.23,56.46796,1.000181
562,5.5.23,54.79786,1.051245
563,5.5.23,54.22262,1.085872
564,5.5.23,55.51584,1.076055
565,5.5.23,52.83726,1.118954
566,5.5.23,60.21646,1.014925
567,5.5.23,54.10654,1.141856
568,5.5.23,59.42018,1.260537
569,5.5.23,55.06682,1.122856
570,5.5.23,54.59632,1.07279
571,5.5.23,54.5669,1.122868
572,5.5.23,55.10424,1.129272
573,5.5.23,54.54892,1.124419
574,5.5.23,56.0975,1.056775
575,5.5.23,56.69012,1.01922
576,5.5.23,57.3187,1.061109
577,5.5.23,54.63886,1.097377
578,5.5.23,57.45596,1.030695
579,5.5.23,52.45124,1.14121
580,5.5.23,60.7003,1.050694
581,5.5.23,54.20118,1.125041
582,5.5.23,56.51072,1.038746
583,5.5.23,52.91306,1.186885
584,5.5.23,54.71258,1.096786
585,5.5.23,58.23818,1.070768
586,5.5.23,56.38584,1.114429
587,5.5.23,55.5445,1.132652
588,5.5.23,54.5118,1.127245
589,5.5.23,55.31852,1.065873
590,5.5.23,50.84518,1.191488
591,5.5.23,55.71934,1.088254
592,5.5.23,54.26412,1.112176
593,5.5.23,54.50154,1.114065
594,5.5.23,64.01422,1.096759
595,5.5.23,61.0534,1.101256
596,5.5.23,55.45538,1.137834
597,5.5.23,58.94524,0.995477
598,5.5.23,57.8737,1.016547
599,5.5.23,57.77776,1.154335
600,5.5.23,58.4926,1.029212
601,5.5.23,57.99828,1.000605
602,5.5.23,58.3521,1.081925
603,5.5.23,57.95918,1.018319
604,5.5.23,53.84152,1.13756
605,5.5.23,55.49262,1.144481
606,5.5.23,53.30598,1.114263
607,5.5.23,55.94516,1.131068
608,5.5.23,56.1813,1.018932
609,5.5.23,56.41694,1.061157
610,5.5.23,54.7365,1.098858
611,5.5.23,57.54358,1.051403
612,5.5.23,59.77314,1.035874
613,5.5.23,58.22248,1.0798
614,5.5.23,58.24244,1.087549
615,5.5.23,59.29234,0.971946
616,5.5.23,55.04886,1.148122
617,5.5.23,56.047,1.079499
618,5.5.23,57.32194,1.038022
619,5.5.23,55.31228,1.188597
620,5.5.23,54.74328,1.06121
621,5.5.23,59.40798,1.108213
622,5.5.23,55.13154,1.144487
623,5.5.23,58.65266,1.076323
624,5.5.23,55.36424,1.143452
625,5.5.23,57.9786,1.080152
626,5.5.23,55.88038,1.099484
627,5.5.23,57.87012,1.126625
628,5.5.23,58.09784,1.372802
629,5.5.23,55.82376,1.057565
630,5.5.23,62.78754,1.134938
631,5.5.23,56.23854,1.143493
632,5.5.23,58.19988,1.087537
633,5.5.23,62.45378,1.088758
634,5.5.23,58.28238,1.080657
635,5.5.23,58.31868,1.133039
636,5.5.23,57.85066,1.149723
637,5.5.23,58.32758,1.062248
638,5.5.23,57.27832,1.068263
639,5.5.23,58.63354,1.0415
640,5.5.23,61.77682,1.069734
641,5.5.23,58.65116,1.044352
642,5.5.23,59.14886,1.05164
643,5.5.23,57.54636,1.042438
644,5.5.23,58.22056,1.095855
645,5.5.23,61.25388,1.006486
646,5.5.23,57.3123,1.121423
647,5.5.23,55.80034,1.110568
648,5.5.23,58.23334,1.09295
649,5.5.23,55.86712,1.358573
650,5.5.23,56.52378,1.054738
651,5.5.23,55.11706,1.122987
652,5.5.23,52.22372,1.132897
653,5.5.23,52.20668,1.42599
654,5.5.23,55.76066,1.085072
655,5.5.23,56.7931,1.113236
656,5.5.23,55.6082,1.129216
657,5.5.23,55.9458,1.138697
658,5.5.23,55.285,1.096793
659,5.5.23,59.65556,1.031363
660,5.5.23,55.37558,1.130097
661,5.5.23,57.02722,1.174543
662,5.5.23,54.838,1.085173
663,5.5.23,53.51838,1.128386
664,5.5.23,56.39326,1.321677
665,5.5.23,52.53362,1.194277
666,5.5.23,57.12206,1.080348
667,5.5.23,58.16076,1.08071
668,5.5.23,54.22018,1.245258
669,5.5.23,53.26932,1.101207
670,5.5.23,53.95176,1.104149
671,5.5.23,56.0959,1.144967
672,5.5.23,55.63886,1.089156
673,5.5.23,55.58238,1.074798
674,5.5.23,57.67008,1.129673
675,5.5.23,57.25642,1.186684
676,5.5.23,56.91582,1.113871
677,5.5.23,60.32926,1.0616
678,5.5.23,52.99014,1.165197
679,5.5.23,56.296,1.145768
