,Revision,Changes,Level,Type
0,1,23.25102880658436,Configurations,Changed
1,1,75.04031465093412,Configurations,Stable
2,1,12.121212121212121,Terms,Changed
3,1,66.66666666666667,Terms,Stable
4,2,1.2345679012345678,Configurations,Changed
5,2,53.03030303030303,Configurations,Stable
6,2,0.0,Terms,Changed
7,2,100.0,Terms,Stable
8,3,0.823045267489712,Configurations,Changed
9,3,75.0,Configurations,Stable
10,3,0.0,Terms,Changed
11,3,100.0,Terms,Stable
12,4,2.7777777777777777,Configurations,Changed
13,4,84.61538461538463,Configurations,Stable
14,4,3.0303030303030303,Terms,Changed
15,4,100.0,Terms,Stable
16,5,3.0864197530864197,Configurations,Changed
17,5,80.45977011494253,Configurations,Stable
18,5,0.0,Terms,Changed
19,5,100.0,Terms,Stable
20,6,5.658436213991769,Configurations,Changed
21,6,58.92255892255892,Configurations,Stable
22,6,0.0,Terms,Changed
23,6,100.0,Terms,Stable
24,7,4.732510288065844,Configurations,Changed
25,7,57.48792270531401,Configurations,Stable
26,7,0.0,Terms,Changed
27,7,100.0,Terms,Stable
28,8,31.584362139917694,Configurations,Changed
29,8,74.0499457111835,Configurations,Stable
30,8,15.151515151515152,Terms,Changed
31,8,60.0,Terms,Stable
32,9,0.411522633744856,Configurations,Changed
33,9,83.33333333333334,Configurations,Stable
34,9,0.0,Terms,Changed
35,9,100.0,Terms,Stable
36,10,0.205761316872428,Configurations,Changed
37,10,100.0,Configurations,Stable
38,10,0.0,Terms,Changed
39,10,100.0,Terms,Stable
40,11,0.823045267489712,Configurations,Changed
41,11,82.14285714285714,Configurations,Stable
42,11,0.0,Terms,Changed
43,11,100.0,Terms,Stable
44,12,1.5432098765432098,Configurations,Changed
45,12,64.76190476190476,Configurations,Stable
46,12,0.0,Terms,Changed
47,12,100.0,Terms,Stable
48,13,1.2345679012345678,Configurations,Changed
49,13,86.36363636363636,Configurations,Stable
50,13,0.0,Terms,Changed
51,13,100.0,Terms,Stable
52,14,20.37037037037037,Configurations,Changed
53,14,78.25462749320617,Configurations,Stable
54,14,6.0606060606060606,Terms,Changed
55,14,100.0,Terms,Stable
56,15,2.1604938271604937,Configurations,Changed
57,15,80.0,Configurations,Stable
58,15,0.0,Terms,Changed
59,15,100.0,Terms,Stable
60,16,17.901234567901234,Configurations,Changed
61,16,75.83549265829512,Configurations,Stable
62,16,6.0606060606060606,Terms,Changed
63,16,100.0,Terms,Stable
64,17,1.954732510288066,Configurations,Changed
65,17,91.81286549707602,Configurations,Stable
66,17,3.0303030303030303,Terms,Changed
67,17,100.0,Terms,Stable
68,18,0.51440329218107,Configurations,Changed
69,18,100.0,Configurations,Stable
70,18,0.0,Terms,Changed
71,18,100.0,Terms,Stable
72,19,0.411522633744856,Configurations,Changed
73,19,50.0,Configurations,Stable
74,19,0.0,Terms,Changed
75,19,100.0,Terms,Stable
76,20,0.720164609053498,Configurations,Changed
77,20,57.14285714285714,Configurations,Stable
78,20,0.0,Terms,Changed
79,20,100.0,Terms,Stable
80,21,4.012345679012346,Configurations,Changed
81,21,76.92307692307692,Configurations,Stable
82,21,0.0,Terms,Changed
83,21,100.0,Terms,Stable
