,revision,performance,cpu
0,5.6.10,130.41836,1.813414
1,5.6.10,132.8982,1.525813
2,5.6.10,135.45922,1.203703
3,5.6.10,124.76948,1.737042
4,5.6.10,126.9179,1.350273
5,5.6.10,123.44402,1.513028
6,5.6.10,123.067,1.118951
7,5.6.10,120.1851,1.549656
8,5.6.10,128.03268,1.279483
9,5.6.10,137.80188,1.787831
10,5.6.10,131.33568,2.050409
11,5.6.10,132.86478,1.635565
12,5.6.10,114.92676,1.723023
13,5.6.10,124.31796,2.115845
14,5.6.10,121.98236,1.407692
15,5.6.10,118.13064,1.624058
16,5.6.10,116.6929,1.560665
17,5.6.10,125.67848,1.932952
18,5.6.10,129.95022,1.802643
19,5.6.10,128.75632,1.690544
20,5.6.10,130.65492,1.960101
21,5.6.10,129.61384,1.619052
22,5.6.10,118.8905,1.937798
23,5.6.10,119.77146,0.985827
24,5.6.10,119.23932,1.63039
25,5.6.10,121.79114,1.638884
26,5.6.10,125.63584,1.759387
27,5.6.10,134.84704,1.631976
28,5.6.10,138.31256,1.8368
29,5.6.10,136.31378,1.725225
30,5.6.10,113.04088,1.643469
31,5.6.10,118.83874,1.872426
32,5.6.10,127.52384,1.295268
33,5.6.10,119.96192,1.873761
34,5.6.10,120.55112,2.038591
35,5.6.10,122.2934,1.427199
36,5.6.10,130.07662,1.37857
37,5.6.10,136.21228,1.251505
38,5.6.10,131.87256,2.070942
39,5.6.10,127.75292,1.492398
40,5.6.10,122.2095,1.662395
41,5.6.10,123.29138,1.455357
42,5.6.10,122.89566,1.571566
43,5.6.10,117.84334,1.844063
44,5.6.10,122.01246,1.430251
45,5.6.10,134.65006,1.377827
46,5.6.10,135.5474,1.68551
47,5.6.10,134.46088,1.173409
48,5.6.10,118.67198,1.393284
49,5.6.10,112.8131,1.892315
50,5.6.10,120.46252,1.413215
51,5.6.10,123.53334,1.601047
52,5.6.10,121.88038,1.455479
53,5.6.10,121.58982,1.212261
54,5.6.10,135.37842,1.194165
55,5.6.10,139.4789,1.249211
56,5.6.10,137.38198,1.245899
57,5.6.10,118.64464,1.697124
58,5.6.10,122.79496,1.731734
59,5.6.10,121.63828,1.77964
60,5.6.10,117.93874,1.626382
61,5.6.10,123.71166,1.763532
62,5.6.10,123.36482,1.680716
63,5.6.10,135.69862,1.42609
64,5.6.10,133.4818,2.007768
65,5.6.10,134.25602,2.140759
66,5.6.10,118.49918,1.527131
67,5.6.10,119.9792,1.373619
68,5.6.10,124.01058,1.488865
69,5.6.10,119.37374,1.854396
70,5.6.10,122.09366,1.715509
71,5.6.10,124.05216,1.317745
72,5.6.10,132.7063,1.908488
73,5.6.10,133.45088,1.635012
74,5.6.10,135.94442,1.728714
75,5.6.10,121.3735,1.342743
76,5.6.10,121.65142,1.349925
77,5.6.10,125.16984,1.377146
78,5.6.10,120.2092,1.487087
79,5.6.10,120.39804,1.525302
80,5.6.10,121.12528,1.200304
