,performance,revision
0,19.476,1.0.0
1,10.368,1.0.0
2,18.008,1.0.0
3,9.646,1.0.0
4,16.012,1.0.0
5,9.768,1.0.0
6,11.7,1.0.0
7,9.676,1.0.0
8,7.524,1.0.0
9,5.86,1.0.0
10,5.724,1.0.0
11,4.422,1.0.0
12,16.548,1.0.0
13,14.442,1.0.0
14,13.134,1.0.0
15,9.426,1.0.0
16,10.67,1.0.0
17,7.438,1.0.0
18,44.922,1.0.0
19,23.29,1.0.0
20,43.262,1.0.0
21,22.332,1.0.0
22,34.678,1.0.0
23,19.95,1.0.0
24,31.116,1.0.0
25,22.12,1.0.0
26,17.932,1.0.0
27,12.832,1.0.0
28,13.548,1.0.0
29,9.284,1.0.0
30,35.03,1.0.0
31,26.846,1.0.0
32,23.184,1.0.0
33,16.138,1.0.0
34,17.82,1.0.0
35,12.168,1.0.0
36,80.896,1.0.0
37,41.132,1.0.0
38,85.602,1.0.0
39,44.342,1.0.0
40,63.428,1.0.0
41,34.528,1.0.0
42,33.668,1.0.0
43,29.026,1.0.0
44,36.9,1.0.0
45,49.676,1.0.0
46,42.058,1.0.0
47,44.744,1.0.0
48,37.122,1.0.0
49,39.704,1.0.0
50,32.704,1.0.0
51,28.818,1.0.0
52,23.668,1.0.0
53,20.732,1.0.0
54,19.484,1.0.0
55,10.278,1.0.0
56,18.016,1.0.0
57,9.656,1.0.0
58,16.064,1.0.0
59,9.784,1.0.0
60,11.732,1.0.0
61,9.612,1.0.0
62,7.412,1.0.0
63,5.902,1.0.0
64,5.746,1.0.0
65,4.422,1.0.0
66,16.572,1.0.0
67,14.458,1.0.0
68,13.1,1.0.0
69,9.528,1.0.0
70,10.648,1.0.0
71,7.386,1.0.0
72,45.048,1.0.0
73,23.242,1.0.0
74,43.148,1.0.0
75,22.35,1.0.0
76,34.714,1.0.0
77,19.882,1.0.0
78,31.33,1.0.0
79,22.134,1.0.0
80,17.954,1.0.0
81,12.85,1.0.0
82,13.526,1.0.0
83,9.362,1.0.0
84,35.102,1.0.0
85,26.724,1.0.0
86,23.214,1.0.0
87,16.072,1.0.0
88,17.732,1.0.0
89,12.186,1.0.0
90,80.738,1.0.0
91,41.034,1.0.0
92,85.66,1.0.0
93,44.28,1.0.0
94,63.452,1.0.0
95,34.598,1.0.0
96,33.648,1.0.0
97,29.136,1.0.0
98,36.782,1.0.0
99,49.586,1.0.0
100,42.042,1.0.0
101,44.626,1.0.0
102,37.144,1.0.0
103,39.674,1.0.0
104,32.742,1.0.0
105,28.762,1.0.0
106,23.638,1.0.0
107,20.81,1.0.0
108,19.452,1.0.0
109,10.306,1.0.0
110,17.988,1.0.0
111,9.544,1.0.0
112,16.026,1.0.0
113,9.66,1.0.0
114,11.73,1.0.0
115,8.624,1.0.0
116,7.414,1.0.0
117,5.196,1.0.0
118,5.724,1.0.0
119,3.834,1.0.0
120,16.536,1.0.0
121,11.102,1.0.0
122,13.186,1.0.0
123,8.11,1.0.0
124,10.664,1.0.0
125,6.528,1.0.0
126,45.11,1.0.0
127,23.2,1.0.0
128,43.21,1.0.0
129,22.318,1.0.0
130,34.73,1.0.0
131,19.832,1.0.0
132,31.076,1.0.0
133,20.724,1.0.0
134,17.886,1.0.0
135,11.754,1.0.0
136,13.532,1.0.0
137,8.66,1.0.0
138,35.212,1.0.0
139,23.07,1.0.0
140,23.224,1.0.0
141,14.594,1.0.0
142,17.798,1.0.0
143,10.966,1.0.0
144,80.798,1.0.0
145,41.03,1.0.0
146,85.44,1.0.0
147,44.276,1.0.0
148,63.364,1.0.0
149,34.592,1.0.0
150,33.72,1.0.0
151,23.504,1.0.0
152,36.762,1.0.0
153,34.466,1.0.0
154,42.004,1.0.0
155,30.602,1.0.0
156,37.054,1.0.0
157,25.492,1.0.0
158,32.83,1.0.0
159,19.986,1.0.0
160,23.612,1.0.0
161,14.318,1.0.0
162,19.424,1.0.0
163,10.322,1.0.0
164,17.952,1.0.0
165,9.572,1.0.0
166,15.976,1.0.0
167,9.618,1.0.0
168,11.72,1.0.0
169,8.578,1.0.0
170,7.4,1.0.0
171,5.152,1.0.0
172,5.696,1.0.0
173,3.904,1.0.0
174,16.622,1.0.0
175,11.068,1.0.0
176,13.144,1.0.0
177,8.172,1.0.0
178,10.624,1.0.0
179,6.5,1.0.0
180,45.016,1.0.0
181,23.196,1.0.0
182,43.18,1.0.0
183,22.338,1.0.0
184,34.756,1.0.0
185,19.872,1.0.0
186,31.222,1.0.0
187,20.878,1.0.0
188,18.036,1.0.0
189,11.714,1.0.0
190,13.454,1.0.0
191,8.626,1.0.0
192,35.05,1.0.0
193,23.064,1.0.0
194,23.24,1.0.0
195,14.57,1.0.0
196,17.804,1.0.0
197,10.938,1.0.0
198,80.808,1.0.0
199,41.01,1.0.0
200,85.57,1.0.0
201,44.32,1.0.0
202,63.392,1.0.0
203,34.57,1.0.0
204,33.734,1.0.0
205,23.562,1.0.0
206,36.86,1.0.0
207,34.466,1.0.0
208,42.032,1.0.0
209,30.658,1.0.0
210,37.186,1.0.0
211,25.616,1.0.0
212,32.62,1.0.0
213,19.988,1.0.0
214,23.628,1.0.0
215,14.36,1.0.0
216,19.69,1.0.0
217,10.462,1.0.0
218,18.078,1.0.0
219,9.676,1.0.0
220,16.004,1.0.0
221,9.734,1.0.0
222,11.706,1.0.0
223,9.642,1.0.0
224,7.43,1.0.0
225,5.774,1.0.0
226,5.78,1.0.0
227,4.414,1.0.0
228,16.596,1.0.0
229,14.368,1.0.0
230,13.156,1.0.0
231,9.504,1.0.0
232,10.678,1.0.0
233,7.388,1.0.0
234,45.346,1.0.0
235,23.286,1.0.0
236,43.32,1.0.0
237,22.368,1.0.0
238,34.662,1.0.0
239,19.856,1.0.0
240,31.112,1.0.0
241,21.99,1.0.0
242,17.914,1.0.0
243,12.768,1.0.0
244,13.452,1.0.0
245,9.25,1.0.0
246,35.176,1.0.0
247,26.722,1.0.0
248,23.19,1.0.0
249,17.196,1.0.0
250,17.808,1.0.0
251,12.576,1.0.0
252,81.084,1.0.0
253,41.254,1.0.0
254,85.93,1.0.0
255,44.33,1.0.0
