,Revision,Changes,Level,Type
0,1,1.2191358024691357,Configurations,Changed
1,1,99.28594612138917,Configurations,Stable
2,1,0.0,Terms,Changed
3,1,100.0,Terms,Stable
4,2,1.2962962962962963,Configurations,Changed
5,2,99.16810097532989,Configurations,Stable
6,2,0.0,Terms,Changed
7,2,100.0,Terms,Stable
8,3,1.2962962962962963,Configurations,Changed
9,3,99.16810097532989,Configurations,Stable
10,3,0.0,Terms,Changed
11,3,100.0,Terms,Stable
12,4,1.8518518518518516,Configurations,Changed
13,4,99.14565826330531,Configurations,Stable
14,4,0.0,Terms,Changed
15,4,100.0,Terms,Stable
16,5,1.3271604938271606,Configurations,Changed
17,5,99.23392612859097,Configurations,Stable
18,5,0.0,Terms,Changed
19,5,100.0,Terms,Stable
20,6,1.5432098765432098,Configurations,Changed
21,6,99.33333333333334,Configurations,Stable
22,6,0.0,Terms,Changed
23,6,100.0,Terms,Stable
24,7,1.7592592592592593,Configurations,Changed
25,7,99.41002949852508,Configurations,Stable
26,7,0.0,Terms,Changed
27,7,100.0,Terms,Stable
28,8,1.83641975308642,Configurations,Changed
29,8,99.07420595356787,Configurations,Stable
30,8,0.0,Terms,Changed
31,8,100.0,Terms,Stable
32,9,1.2037037037037037,Configurations,Changed
33,9,99.26739926739927,Configurations,Stable
34,9,0.0,Terms,Changed
35,9,100.0,Terms,Stable
36,10,1.4197530864197532,Configurations,Changed
37,10,98.87720974677497,Configurations,Stable
38,10,0.0,Terms,Changed
39,10,100.0,Terms,Stable
40,11,1.3734567901234567,Configurations,Changed
41,11,99.13176710929521,Configurations,Stable
42,11,0.0,Terms,Changed
43,11,100.0,Terms,Stable
