,revision,performance,cpu
0,8.3.0,57.4474,2.802668
1,8.3.0,55.448800000000006,2.857551
2,8.3.0,56.4966,2.803929
3,8.3.0,56.343,2.801221
4,8.3.0,55.6676,2.766703
5,8.3.0,55.937,2.858862
6,8.3.0,56.954,2.861585
7,8.3.0,55.7768,2.774552
8,8.3.0,57.395199999999996,2.780006
9,8.3.0,57.3674,2.794905
10,8.3.0,56.5554,2.770759
11,8.3.0,55.657,2.811569
12,8.3.0,57.0298,2.763366
13,8.3.0,56.16,2.988818
14,8.3.0,55.9274,2.829804
15,8.3.0,58.2876,2.727111
16,8.3.0,58.5906,2.678221
17,8.3.0,55.1222,2.779472
18,8.3.0,56.7734,2.819709
19,8.3.0,56.48,2.831519
20,8.3.0,57.063,2.845512
21,8.3.0,56.189,2.816167
22,8.3.0,56.1744,2.833103
23,8.3.0,56.468599999999995,2.826998
24,8.3.0,56.646800000000006,2.832319
25,8.3.0,55.593599999999995,2.877868
26,8.3.0,55.9574,2.819343
27,8.3.0,56.4192,2.801678
28,8.3.0,55.4662,2.859024
29,8.3.0,55.6506,2.912264
30,8.3.0,56.5968,2.852466
31,8.3.0,56.9104,2.869909
32,8.3.0,55.9036,2.843052
33,8.3.0,56.0742,2.793191
34,8.3.0,56.9384,2.758506
35,8.3.0,56.434599999999996,2.79947
36,8.3.0,56.480599999999995,2.837476
37,8.3.0,56.432199999999995,2.798975
38,8.3.0,56.3218,2.785034
39,8.3.0,56.5236,2.833813
40,8.3.0,56.407599999999995,2.885577
41,8.3.0,56.1634,2.791011
42,8.3.0,56.4874,2.861005
43,8.3.0,55.9566,3.001185
44,8.3.0,56.413199999999996,2.792847
45,8.3.0,56.3494,2.822894
46,8.3.0,56.780800000000006,2.847649
47,8.3.0,56.0406,3.067883
48,8.3.0,56.443599999999996,2.79775
49,8.3.0,55.8272,2.884466
50,8.3.0,55.953199999999995,2.90522
51,8.3.0,56.116800000000005,2.828714
52,8.3.0,56.959199999999996,2.831323
53,8.3.0,56.8738,2.806
54,8.3.0,56.5474,2.845326
55,8.3.0,57.1594,2.826608
56,8.3.0,57.2322,2.815108
57,8.3.0,56.6828,2.883231
