,Revision,Changes,Level,Type
0,1,94.07894736842105,Configurations,Changed
1,1,90.95094567305995,Configurations,Stable
2,1,92.5,Terms,Changed
3,1,87.98798798798799,Terms,Stable
4,2,64.21783625730994,Configurations,Changed
5,2,95.88000098532002,Configurations,Stable
6,2,70.0,Terms,Changed
7,2,99.20634920634922,Terms,Stable
8,3,99.4517543859649,Configurations,Changed
9,3,89.14212983980802,Configurations,Stable
10,3,90.0,Terms,Changed
11,3,91.5873015873016,Terms,Stable
12,4,93.96929824561403,Configurations,Changed
13,4,94.77836448746646,Configurations,Stable
14,4,87.5,Terms,Changed
15,4,95.46218487394957,Terms,Stable
16,5,45.39473684210527,Configurations,Changed
17,5,94.04212747239058,Configurations,Stable
18,5,72.5,Terms,Changed
19,5,91.37931034482759,Terms,Stable
20,6,87.06140350877193,Configurations,Changed
21,6,97.6767164908591,Configurations,Stable
22,6,82.5,Terms,Changed
23,6,94.50757575757575,Terms,Stable
24,7,82.89473684210526,Configurations,Changed
25,7,92.69688008844015,Configurations,Stable
26,7,60.0,Terms,Changed
27,7,97.82608695652173,Terms,Stable
28,8,72.80701754385966,Configurations,Changed
29,8,96.78649303391366,Configurations,Stable
30,8,35.0,Terms,Changed
31,8,93.4065934065934,Terms,Stable
32,9,84.83187134502924,Configurations,Changed
33,9,97.69804186661517,Configurations,Stable
34,9,47.5,Terms,Changed
35,9,99.41520467836257,Terms,Stable
36,10,46.60087719298245,Configurations,Changed
37,10,74.78806907378336,Configurations,Stable
38,10,52.5,Terms,Changed
39,10,72.3809523809524,Terms,Stable
40,11,77.11988304093568,Configurations,Changed
41,11,98.1675464439246,Configurations,Stable
42,11,7.5,Terms,Changed
43,11,100.0,Terms,Stable
44,12,44.44444444444444,Configurations,Changed
45,12,92.85480290231752,Configurations,Stable
46,12,37.5,Terms,Changed
47,12,59.04761904761905,Terms,Stable
48,13,11.586257309941521,Configurations,Changed
49,13,98.26698079303597,Configurations,Stable
50,13,0.0,Terms,Changed
51,13,100.0,Terms,Stable
52,14,38.340643274853804,Configurations,Changed
53,14,96.13736091806811,Configurations,Stable
54,14,0.0,Terms,Changed
55,14,100.0,Terms,Stable
