,Revision,Changes,Level,Type
0,1,70.55555555555556,Configurations,Changed
1,1,92.57592800899887,Configurations,Stable
2,1,27.10843373493976,Terms,Changed
3,1,81.01010101010101,Terms,Stable
4,2,75.55555555555556,Configurations,Changed
5,2,98.05010893246187,Configurations,Stable
6,2,28.313253012048197,Terms,Changed
7,2,84.45883441258096,Terms,Stable
8,3,43.888888888888886,Configurations,Changed
9,3,99.1236611489776,Configurations,Stable
10,3,7.83132530120482,Terms,Changed
11,3,98.71794871794872,Terms,Stable
12,4,37.22222222222222,Configurations,Changed
13,4,99.4572591587517,Configurations,Stable
14,4,2.4096385542168677,Terms,Changed
15,4,100.0,Terms,Stable
16,5,15.555555555555555,Configurations,Changed
17,5,100.0,Configurations,Stable
18,5,1.8072289156626504,Terms,Changed
19,5,100.0,Terms,Stable
20,6,1.6666666666666667,Configurations,Changed
21,6,100.0,Configurations,Stable
22,6,10.240963855421686,Terms,Changed
23,6,99.26470588235294,Terms,Stable
24,7,66.11111111111111,Configurations,Changed
25,7,97.33656174334142,Configurations,Stable
26,7,26.506024096385545,Terms,Changed
27,7,96.93446088794926,Terms,Stable
28,8,11.11111111111111,Configurations,Changed
29,8,99.47368421052632,Configurations,Stable
30,8,8.433734939759036,Terms,Changed
31,8,100.0,Terms,Stable
32,9,14.444444444444443,Configurations,Changed
33,9,94.15384615384616,Configurations,Stable
34,9,8.433734939759036,Terms,Changed
35,9,100.0,Terms,Stable
36,10,2.7777777777777777,Configurations,Changed
37,10,100.0,Configurations,Stable
38,10,7.228915662650602,Terms,Changed
39,10,98.48484848484848,Terms,Stable
40,11,26.111111111111114,Configurations,Changed
41,11,99.8149861239593,Configurations,Stable
42,11,9.036144578313253,Terms,Changed
43,11,98.0952380952381,Terms,Stable
