%Changes;Frequency
0;94
1;2
2;1
3;2
4;3
5;3
6;3
7;3
8;3
9;2
10;2
11;9
12;2
13;1
14;1
15;1
16;2
17;0
18;1
19;1
20;0
21;0
22;3
23;1
24;0
25;0
26;2
27;3
28;1
29;0
30;1
31;0
32;0
33;6
34;0
35;1
36;1
37;1
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;1
47;1
48;0
49;0
50;0
51;1
52;2
53;3
54;0
55;0
56;1
57;1
58;0
59;1
60;1
61;1
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;1
71;0
72;1
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;1
83;0
84;0
85;0
86;0
87;1
88;0
89;0
90;2
91;0
92;1
93;0
94;0
95;1
96;0
97;1
98;0
99;0
100;0
